,smiles,homo,lumo,gap,mol_wt,nhoh_ct,valence,mole_logp,tpsa,enthalpy
0,O=C1CNC(=O)N1,-0.266,-0.0096,0.2565,100.027277368,2,38,-1.1742,58.2,-376.654541
1,CCC1(O)CCC1,-0.2513,0.0706,0.3219,100.088815004,1,42,1.3114,20.23,-310.9066
2,CC1(COC1)C#N,-0.2711,0.0198,0.2909,97.052763844,0,38,0.5464800000000001,33.019999999999996,-324.561173
3,NC(=O)OC1CC1,-0.265,0.0562,0.3212,101.047678464,2,40,0.24410000000000004,52.32000000000001,-361.732099
4,CC1OCC(=O)O1,-0.2728,0.0037,0.2765,102.031694052,0,40,-0.09420000000000006,35.53,-381.628571
5,CC1CNC(=O)O1,-0.2604,0.0537,0.3141,101.047678464,1,40,0.11470000000000008,38.33,-361.765626
6,N=C1NC(=O)C=C1,-0.2673,-0.0808,0.1865,96.032362748,2,36,-0.35033000000000003,52.95,-339.484329
7,CC12CC(C1)CO2,-0.2332,0.0911,0.3243,98.07316494,0,40,1.1853,9.23,-309.698809
8,CCC1CC(=O)C1,-0.2392,-0.0162,0.223,98.07316494,0,40,1.3755,17.07,-309.727004
9,CC(O)C(C)CO,-0.2518,0.0657,0.3175,104.083729624,2,44,-0.0043999999999999595,40.46,-348.041861
10,CC#CC1(C)CC1,-0.225,0.0633,0.2883,94.07825032,0,38,1.8098,0.0,-272.545293
11,CN1CCC(=O)C1,-0.211,-0.0175,0.1935,99.068413908,0,40,-0.10899999999999999,20.310000000000002,-325.781523
12,CCC(=O)C(C)=O,-0.2389,-0.0809,0.158,100.052429496,0,40,0.5545,34.14,-345.686402
13,CN1CC2(CO2)C1,-0.2155,0.0814,0.2969,99.068413908,0,40,-0.29920000000000013,15.77,-325.713206
14,CC1CC=C(C)C1,-0.2237,0.0359,0.2596,96.093900384,0,40,2.3626000000000005,0.0,-273.804322
15,OCC1CC(=O)O1,-0.2796,0.0025,0.2821,102.031694052,1,40,-0.7058,46.53,-381.605112
16,CC12CC(CC1)O2,-0.2399,0.0895,0.3293,98.07316494,0,40,1.3277999999999999,9.23,-309.703173
17,CC1(O)CC2OC12,-0.2542,0.0708,0.325,100.052429496,1,40,-0.09150000000000014,32.76,-345.604536
18,CC(=O)C1(C)CO1,-0.2466,-0.0235,0.2232,100.052429496,0,40,0.36429999999999996,29.6,-345.649638
19,CC(=O)C(=O)CO,-0.2585,-0.0974,0.1612,102.031694052,1,40,-0.8632000000000002,54.370000000000005,-381.607936
20,CC12CC1C(=O)N2,-0.2431,0.0119,0.2549,97.052763844,1,38,-0.1051999999999999,29.1,-324.56898
21,N=C1COC(=N)N1,-0.2499,0.0033,0.2533,99.04326178,3,38,-0.48176000000000013,68.96,-356.721534
22,CC(C)C(=O)CO,-0.2628,-0.0244,0.2384,102.06807956,1,42,0.20380000000000004,37.3,-346.868893
23,CCC(=O)C(N)=N,-0.2473,-0.0499,0.1974,100.063662876,3,40,-0.0985299999999999,66.94,-341.860877
24,CCCC1(C)CO1,-0.2586,0.0878,0.3464,100.088815004,0,42,1.5754000000000001,12.53,-310.902188
25,CC1(O)C2COC12,-0.2247,0.0704,0.2951,100.052429496,1,40,-0.23399999999999999,29.46,-345.592304
26,CC1(C)C2CC1C2,-0.2809,0.0939,0.3748,96.093900384,0,40,2.0524,0.0,-273.72454
27,CC(N)C(N)C#N,-0.2381,0.0205,0.2587,99.07964728799999,4,40,-0.81552,75.83,-321.948992
28,CN(C=N)C(N)=O,-0.2439,0.0078,0.2517,101.058911844,3,40,-0.3960299999999998,70.18,-357.930841
29,CC1=CCC(=O)N1,-0.2108,0.0052,0.216,97.052763844,1,38,0.41009999999999996,29.1,-324.626923
30,O=C1CCC(=O)C1,-0.2427,-0.0443,0.1984,98.036779432,0,38,0.3085,34.14,-344.498577
31,OC1(COC1)C#C,-0.2539,0.0194,0.2733,98.036779432,1,38,-0.6191,29.46,-344.377269
32,CC12CC1C(O)C2,-0.2448,0.078,0.3228,98.07316494,1,40,0.7771999999999999,20.23,-309.683569
33,CC1(C)CC2NC12,-0.225,0.0879,0.3129,97.08914935199999,1,40,0.7566999999999999,21.94,-289.794172
34,N=C1CCC(=O)N1,-0.2573,-0.0057,0.2516,98.048012812,2,38,-0.12633,52.95,-340.692739
35,OCC1CC(O)C1,-0.254,0.0759,0.3299,102.06807956,2,42,-0.2504000000000001,40.46,-346.824551
36,N=C1CNC(=O)N1,-0.2524,0.0051,0.2575,99.04326178,3,38,-0.7235300000000002,64.98,-356.751201
37,CC(=O)CC1CC1,-0.2366,-0.0084,0.2282,98.07316494,0,40,1.3755,17.07,-309.718683
38,CC1CC(CO)O1,-0.2462,0.0758,0.322,102.06807956,1,42,0.15609999999999996,29.46,-346.830573
39,COCC1(C)CC1,-0.2509,0.0847,0.3357,100.088815004,0,42,1.4329,9.23,-310.890001
40,CC#CC1(C)CO1,-0.2449,0.0353,0.2802,96.057514876,0,38,0.7986,12.53,-308.467768
41,O=CC12CC(C1)O2,-0.2522,-0.0431,0.2091,98.036779432,0,38,0.11669999999999991,26.3,-344.377934
42,CC(O)C1(C)CC1,-0.2606,0.0735,0.3341,100.088815004,1,42,1.1673,20.23,-310.901861
43,CN1CC1(C)CO,-0.2295,0.0816,0.311,101.084063972,1,42,-0.3172000000000001,23.240000000000002,-326.93499
44,CC1COC(=N)O1,-0.2522,0.0577,0.3099,101.047678464,1,40,0.35647,42.31,-361.732685
45,O=C1CC(O1)C#N,-0.3048,-0.0226,0.2823,97.016378336,0,36,-0.17452,50.09,-359.335537
46,NC1CC1(N)C#N,-0.2386,0.0318,0.2705,97.06399722399999,4,38,-1.06152,75.83,-320.732614
47,CC12CC1(C)OC2,-0.224,0.0877,0.3117,98.07316494,0,40,1.1853,9.23,-309.679067
48,CC1COC(C)=N1,-0.2397,0.0312,0.2709,99.068413908,0,40,0.8235,21.59,-325.801841
49,COC(=O)C(N)=O,-0.251,-0.0451,0.2059,103.02694302,2,40,-1.3553000000000002,69.39,-397.70068
50,CN1CC1(C)C#N,-0.2531,0.0254,0.2784,96.06874825599999,0,38,0.21407999999999994,26.799999999999997,-304.673753
51,OC1COCC=C1,-0.2514,0.0148,0.2662,100.052429496,1,40,-0.06630000000000003,29.46,-345.640162
52,CC1CN1CC=O,-0.2392,-0.0224,0.2168,99.068413908,0,40,-0.11060000000000003,20.08,-325.742215
53,CC12NC3C1NC23,-0.2222,0.0692,0.2914,96.06874825599999,2,38,-0.9291,24.06,-304.577091
54,CC12OC1CC2=O,-0.2423,-0.0253,0.217,98.036779432,0,38,0.11670000000000003,29.6,-344.427484
55,CC1C2OCC12O,-0.2254,0.0633,0.2887,100.052429496,1,40,-0.23400000000000004,29.46,-345.593635
56,CC12CC3OC1C23,-0.2245,0.0819,0.3064,96.057514876,0,38,0.7936,9.23,-308.443754
57,CC1NC11COC1,-0.242,0.0611,0.3031,99.068413908,1,40,-0.2529000000000001,31.17,-325.718255
58,CC12CCC1CC2,-0.2572,0.0843,0.3415,96.093900384,0,40,2.1965000000000003,0.0,-273.757877
59,CC(C)C1CCC1,-0.2829,0.0856,0.3685,98.109550448,0,42,2.442500000000001,0.0,-274.976805
60,OC1CCCC1=O,-0.2511,-0.0276,0.2234,100.052429496,1,40,0.10030000000000006,37.3,-345.680159
61,CC1CC=CC1C,-0.2345,0.0292,0.2637,96.093900384,0,40,2.2184999999999997,0.0,-273.795636
62,[NH3+]C1CC1C([O-])=O,-0.2475,0.0259,0.2734,101.047678464,3,40,-2.6332999999999993,67.77000000000001,-361.727206
